               hash               | count  | len  
 dc998cf1955243ad144ad2600c7f4296 |   1209 |   25
 df67cc4d416995187d93beacca6b4570 |    572 |   25
 e122df5c4b4a5b736c1dc581ac4a5d7e |    776 |   25
 e1bfd0b1e59f6c0f301c1085c5c7d9e0 |    662 |   25
 f557ca1dbfc3c7e00eb0a861206e83c5 |   1876 |   25
 ff929c5bdb46557c17421c1481fb3809 |   2085 |   25
 04ed3d9c0933aee8797f44e73e84b75f |    892 |   24
 1fece37075c6d5c4a1c9350aee882425 |   2317 |   24
 40be62965504e42dfd420fd8e7b48b21 |    666 |   24
 46bdec71278fd059ce934a802c6f6653 |    554 |   24
 4fedce6e9811ed47c93b02df86ae0645 |   1107 |   24
 5ba74d4388c6c3261da7adb70f8a466a |    567 |   24
 a97b370bf28345814745dcecdd7873b1 |    751 |   24
 b378c13f44803ddbc1d262f44a99bb6d |   1067 |   24
 b7d3f0e8c2b4df13129f0881a3d097cd |    652 |   24
 bd8aa6af889a2a1d58839d16c68ed9c5 |   2689 |   24
 c0682ad621c3fca4f8b0498de1adf175 |    635 |   24
 d695e568da3b11b78d8f31a16c052fef |  16755 |   24
 15d6075051cfc0c41248f3d156ae3d75 |    894 |   23
 237d85c1d8e3aa94d00337a13c215e37 |    501 |   23
 3da3518cbcc2338946b7e55757d5261c |   8862 |   23
 490d4fdf24a78704f1a15a6398a4942d |    649 |   23
 4a6a0bda3e3a7bc5e803ceed90b7943f |    796 |   23
 5e5c890d6df7cf79ff191beb81e4b5e0 |   1505 |   23
 6fda9b733c80f684a70a24c905ed30b0 |    584 |   23
 768dbf2e42d3f7abe28c8b024d0e1de1 |   5768 |   23
 9d66eb67ce188bac009797118def6c8e |   4027 |   23
 c1a0127d77b6273d0466671071c8f528 |    893 |   23
 d7470cb9a6a60eb916597cb523a47397 |   4081 |   23
 f84c5e502b8119b9b455ccf32390e7f8 |   1220 |   23
 04b97bec9c9c3fefe89b278b02621901 |   1429 |   22
 086cd1c2ecf0f9bd8847085c5c5ba6ce |    526 |   22
 0a90b020c594d9b32b422a0a8485be5c |    726 |   22
 0dd174b5401dea9c300f75119666a162 |   1401 |   22
 1e5491df128a177f3308a2fa5ae71072 |   1160 |   22
 2121439e8921b55898dcb6a527393f32 |   1558 |   22
 2252c81686dfa4944afbe7a22885dc8d |    572 |   22
 27ad8b28a02c8fbf6e154c631b0b22a3 |    652 |   22
 30c20ab9bafb4416e83cb460ad48e3c4 |   4050 |   22
 314f26a7412d0d4ef09e5c826cb3fca4 |   2120 |   22
 32843b868144fcd2dd3328b22b96e0ed |    798 |   22
 39c82124ecedfc5673a36da8e4a61b73 |   4027 |   22
 529e770280e8dd5f1794628d0f960071 |    725 |   22
 5fd25847a58c7467c855ea081959f363 |    540 |   22
 7268ee0b7f23f09b8ca3327e8a214f63 |    798 |   22
 7a5d6df39ebcb80346b920b6e4a8f75b |    740 |   22
 7e65e440c4b72560231cf81d01e3708b |    870 |   22
 83c38f8dfaab9bdb8b02e9b22e8e1705 |  11039 |   22
 8c5c1a71ca94201cd06cde0ea003a229 |   2074 |   22
 8da62e053571ea172180b3724ba88de9 |   1582 |   22
 910a7ece374465dc6280040a55cd2322 |    957 |   22
 99d43f7297a61270c3d138631ae85703 |    789 |   22
 ab3c02bb22a06e080d03a5c46df5aef3 |    989 |   22
 ad6b37991c2fc329025e565163a44598 |   1152 |   22
 b137b1353e14b49195a4fefe0803095f |   3589 |   22
 b3033afaaea52ac1f7e3b38172c88a7c |    585 |   22
 ce24d8c94c1da878e45000f278852d2c |   1676 |   22
 f299a8b06a8793220a5c55dfd84d0368 |   1633 |   22
 fddb2f3929e0a82cacddc23d4d6e2c52 |    584 |   22
 017e8af2a834d527a19b59eaa234694e |   1326 |   21
 0dceae361bfb0b2399f3b1fec3615f93 |   1170 |   21
 10ba010f22bc56defacd5b6ad54e2f16 |    574 |   21
 19501a3b1cccec0cc91b4d36484bbf51 |   1787 |   21
 1c10e6fabee12dc830dd61edc380d57c |   3326 |   21
 1c94d4d3994ac24d15c43afb45dbd33c |    685 |   21
 1edeafe4a63f89b52869c6413acf68b4 |    822 |   21
 21c0354c3209477cbf91506bc6168c98 |    675 |   21
 2327c3166face00dee28e4800e6d15ec |    660 |   21
 2651954e44565b33a13e2fd83391617b |    563 |   21
 3c470f203190154c7937962ec89d5a5b |   2401 |   21
 3c54a78641c8b100b904ce5b923f6372 |    552 |   21
 3f5ede103b15434a05a285673e1be81f |   1433 |   21
 3f91cf0ca5dbc50630b61085ed961502 |    547 |   21
 425a84c9e94505135152613255b91164 |   2247 |   21
 4422ff962c9f308ef7f21c731da20116 |    719 |   21
 4bb7d4aaa81c1ef653856dc0b3749a8e |   2117 |   21
 570500f12bd358ad9e4c83480336d986 |    719 |   21
 583a995c60cd1bf331f7b026596430c2 |   4151 |   21
